"DataMessageGUID","SensorID","Sensor Name","Date","Value","Formatted Value","Battery","Raw Data","Sensor State","GatewayID","Alert Sent","Signal Strength","Voltage","Special Export Value"
"03dbf133-b14e-4f5d-82c4-781d35c81f7b","630899","G-force - Max & Avg - 630899","05/17/2022 3:14 AM","0.032","X Max: 0.032 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.032|0.892|0.397|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"96db7e8d-9044-49d6-8f84-cb3ae70cbc53","630899","G-force - Max & Avg - 630899","05/17/2022 3:24 AM","0.03","X Max: 0.03 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.03|0.892|0.397|0.974|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"0a51f745-ca64-48c8-9970-e5037fe29841","630899","G-force - Max & Avg - 630899","05/17/2022 3:34 AM","0.032","X Max: 0.032 g , Y Max: 0.892 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.032|0.892|0.398|0.973|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"175baa83-12aa-4f37-ad15-b3203ead452c","630899","G-force - Max & Avg - 630899","05/17/2022 3:44 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.387 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.397|0.973|0.023|0.883|0.387|0.964|0","0","971850","False","0","2.96"
"4cc831ef-e46d-4758-a533-a56d05794c8b","630899","G-force - Max & Avg - 630899","05/17/2022 3:54 AM","0.03","X Max: 0.03 g , Y Max: 0.893 g , Z Max: 0.397 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.893|0.397|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"6ab8c764-1061-46f6-b103-911bcc005c0c","630899","G-force - Max & Avg - 630899","05/17/2022 4:04 AM","0.03","X Max: 0.03 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"1cf6720b-2817-42f7-82e7-af882a07afdc","630899","G-force - Max & Avg - 630899","05/17/2022 4:14 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.974 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.398|0.974|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"d8d30b91-98d5-4721-be12-cc292bf6137d","630899","G-force - Max & Avg - 630899","05/17/2022 4:24 AM","0.033","X Max: 0.033 g , Y Max: 0.891 g , Z Max: 0.398 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.033|0.891|0.398|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"329f75a4-31cb-447d-8b70-aa61dd8c0cd2","630899","G-force - Max & Avg - 630899","05/17/2022 4:34 AM","0.03","X Max: 0.03 g , Y Max: 0.892 g , Z Max: 0.397 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.892|0.397|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
"d6d5adce-ec52-427c-b378-067c530b82a9","630899","G-force - Max & Avg - 630899","05/17/2022 4:44 AM","0.03","X Max: 0.03 g , Y Max: 0.891 g , Z Max: 0.396 g , Magnitude Max: 0.973 g , X Avg: 0.023 g , Y Avg: 0.883 g , Z Avg: 0.386 g , Magnitude Mean: 0.964 g","100","0.03|0.891|0.396|0.973|0.023|0.883|0.386|0.964|0","0","971850","False","0","2.96"
